Gender,Age group,State or Territory,Currently pregnant,Number of children,Age of youngest child,Essential oils preferences,Natural ingredients importance,How often use baby bath products,How often use baby shampoo,Survey Question 11,Survey Question 12,Survey Question 13,Survey Question 14,Survey Question 15,Survey Question 16,Survey Question 17,Survey Question 18,Survey Question 19,Survey Question 20,Survey Question 21,Survey Question 22,Survey Question 23,Survey Question 24,Survey Question 25,Survey Question 26,Survey Question 27,Survey Question 28,Survey Question 29,Survey Question 30,Survey Question 31,Survey Question 32,Survey Question 33,Survey Question 34,Survey Question 35,Survey Question 36,Survey Question 37,Survey Question 38,Survey Question 39,Survey Question 40,Survey Question 41,Survey Question 42,Survey Question 43,Survey Question 44,Survey Question 45,Survey Question 46,Survey Question 47,Survey Question 48,Survey Question 49,Survey Question 50,Survey Question 51,Survey Question 52,Survey Question 53
Male,Male,Female,Male,Male,Female,Disagree,Strongly Disagree,Sometimes,Often,Disagree,Sometimes,Disagree,Disagree,Never,Neutral,Agree,Often,Neutral,Strongly Agree,Always,Agree,Strongly Disagree,Never,Agree,Strongly Agree,Often,Strongly Disagree,Strongly Disagree,Rarely,Strongly Agree,Strongly Disagree,Always,Agree,Agree,Rarely,Strongly Agree,Strongly Disagree,Rarely,Agree,Strongly Disagree,Always,Strongly Disagree,Strongly Disagree,Often,Strongly Disagree,Neutral,Sometimes,Strongly Disagree,Disagree,Never,Neutral,Neutral
Male,Male,Female,Male,Female,Male,Neutral,Disagree,Rarely,Always,Disagree,Rarely,Strongly Agree,Strongly Disagree,Always,Strongly Disagree,Neutral,Always,Strongly Disagree,Strongly Disagree,Often,Strongly Agree,Disagree,Never,Disagree,Agree,Always,Strongly Disagree,Neutral,Never,Strongly Disagree,Strongly Agree,Rarely,Neutral,Disagree,Often,Strongly Disagree,Disagree,Rarely,Disagree,Strongly Disagree,Rarely,Strongly Disagree,Strongly Agree,Sometimes,Agree,Disagree,Never,Disagree,Agree,Always,Strongly Disagree,Disagree
Male,Male,Female,Female,Female,Female,Strongly Agree,Strongly Disagree,Sometimes,Sometimes,Strongly Disagree,Always,Neutral,Strongly Agree,Sometimes,Strongly Disagree,Agree,Never,Strongly Disagree,Agree,Rarely,Neutral,Agree,Often,Agree,Disagree,Never,Agree,Agree,Often,Strongly Agree,Neutral,Sometimes,Agree,Agree,Sometimes,Strongly Agree,Neutral,Often,Agree,Strongly Agree,Rarely,Strongly Disagree,Neutral,Often,Strongly Disagree,Agree,Rarely,Agree,Strongly Disagree,Often,Disagree,Neutral
Female,Female,Female,Female,Male,Male,Disagree,Strongly Disagree,Often,Always,Strongly Agree,Always,Disagree,Strongly Agree,Sometimes,Strongly Agree,Disagree,Often,Strongly Disagree,Disagree,Always,Disagree,Neutral,Never,Disagree,Neutral,Sometimes,Strongly Agree,Strongly Disagree,Always,Neutral,Neutral,Always,Neutral,Disagree,Rarely,Disagree,Neutral,Rarely,Neutral,Neutral,Often,Neutral,Strongly Agree,Rarely,Strongly Agree,Neutral,Always,Strongly Disagree,Strongly Disagree,Sometimes,Disagree,Disagree
Male,Male,Male,Female,Male,Male,Agree,Neutral,Often,Often,Agree,Often,Neutral,Strongly Agree,Often,Agree,Strongly Disagree,Rarely,Disagree,Agree,Sometimes,Agree,Agree,Never,Strongly Disagree,Strongly Agree,Never,Disagree,Strongly Disagree,Rarely,Neutral,Disagree,Never,Strongly Agree,Disagree,Rarely,Disagree,Disagree,Always,Strongly Disagree,Neutral,Often,Disagree,Strongly Agree,Rarely,Neutral,Agree,Never,Neutral,Agree,Always,Strongly Agree,Agree
Male,Male,Female,Male,Female,Female,Agree,Strongly Disagree,Often,Never,Disagree,Often,Disagree,Agree,Always,Strongly Agree,Neutral,Never,Neutral,Strongly Agree,Often,Strongly Disagree,Strongly Agree,Sometimes,Agree,Strongly Agree,Always,Strongly Disagree,Disagree,Always,Agree,Agree,Often,Neutral,Strongly Agree,Often,Agree,Disagree,Rarely,Neutral,Agree,Often,Strongly Disagree,Neutral,Often,Strongly Disagree,Strongly Disagree,Rarely,Agree,Agree,Sometimes,Neutral,Strongly Disagree
Male,Female,Male,Female,Female,Female,Strongly Disagree,Neutral,Always,Sometimes,Disagree,Sometimes,Strongly Agree,Agree,Sometimes,Strongly Disagree,Strongly Disagree,Often,Strongly Disagree,Disagree,Sometimes,Disagree,Neutral,Rarely,Neutral,Strongly Agree,Sometimes,Agree,Neutral,Rarely,Disagree,Strongly Disagree,Often,Agree,Neutral,Sometimes,Strongly Agree,Agree,Rarely,Strongly Agree,Agree,Rarely,Strongly Disagree,Disagree,Sometimes,Neutral,Disagree,Often,Disagree,Strongly Disagree,Sometimes,Agree,Strongly Disagree
Male,Male,Female,Male,Female,Male,Strongly Agree,Strongly Disagree,Always,Often,Strongly Disagree,Always,Strongly Disagree,Strongly Agree,Sometimes,Neutral,Strongly Agree,Often,Strongly Agree,Strongly Agree,Always,Strongly Disagree,Neutral,Always,Strongly Disagree,Agree,Never,Strongly Disagree,Disagree,Never,Neutral,Strongly Disagree,Never,Agree,Agree,Never,Disagree,Agree,Often,Agree,Neutral,Never,Strongly Disagree,Disagree,Sometimes,Strongly Disagree,Agree,Rarely,Disagree,Strongly Disagree,Never,Agree,Strongly Disagree
Female,Female,Female,Female,Female,Female,Disagree,Strongly Disagree,Always,Rarely,Strongly Disagree,Rarely,Neutral,Strongly Agree,Often,Neutral,Strongly Disagree,Never,Strongly Agree,Agree,Never,Agree,Strongly Agree,Often,Neutral,Neutral,Rarely,Strongly Disagree,Neutral,Rarely,Strongly Agree,Agree,Rarely,Disagree,Disagree,Often,Disagree,Neutral,Rarely,Agree,Neutral,Rarely,Neutral,Strongly Agree,Rarely,Strongly Disagree,Strongly Disagree,Always,Agree,Agree,Sometimes,Strongly Disagree,Agree
Female,Male,Female,Female,Female,Male,Agree,Strongly Disagree,Sometimes,Often,Neutral,Never,Neutral,Neutral,Sometimes,Neutral,Strongly Agree,Rarely,Strongly Disagree,Strongly Agree,Sometimes,Agree,Disagree,Rarely,Agree,Agree,Always,Neutral,Strongly Agree,Always,Strongly Disagree,Strongly Disagree,Rarely,Agree,Strongly Disagree,Always,Agree,Neutral,Rarely,Strongly Agree,Agree,Always,Agree,Agree,Rarely,Agree,Agree,Always,Neutral,Strongly Disagree,Never,Strongly Agree,Neutral
Male,Female,Female,Male,Female,Male,Disagree,Strongly Agree,Never,Rarely,Neutral,Rarely,Disagree,Strongly Disagree,Rarely,Strongly Agree,Strongly Agree,Rarely,Disagree,Disagree,Always,Disagree,Strongly Agree,Never,Disagree,Strongly Agree,Rarely,Disagree,Neutral,Often,Neutral,Neutral,Rarely,Strongly Disagree,Strongly Agree,Always,Agree,Neutral,Never,Neutral,Neutral,Sometimes,Strongly Agree,Strongly Disagree,Sometimes,Strongly Disagree,Strongly Agree,Always,Neutral,Disagree,Rarely,Agree,Disagree
Female,Female,Male,Female,Male,Male,Neutral,Neutral,Always,Often,Strongly Agree,Rarely,Agree,Strongly Disagree,Never,Agree,Strongly Agree,Sometimes,Neutral,Neutral,Sometimes,Strongly Agree,Agree,Sometimes,Strongly Agree,Strongly Agree,Always,Strongly Agree,Agree,Never,Agree,Strongly Disagree,Always,Agree,Disagree,Always,Agree,Disagree,Always,Strongly Disagree,Disagree,Always,Strongly Agree,Strongly Disagree,Often,Strongly Agree,Agree,Often,Neutral,Strongly Disagree,Rarely,Agree,Agree
Female,Male,Male,Female,Female,Male,Agree,Neutral,Never,Sometimes,Disagree,Sometimes,Strongly Agree,Neutral,Never,Disagree,Disagree,Always,Neutral,Strongly Agree,Sometimes,Strongly Disagree,Neutral,Often,Strongly Agree,Disagree,Often,Agree,Disagree,Often,Disagree,Strongly Agree,Rarely,Strongly Agree,Agree,Always,Agree,Neutral,Rarely,Neutral,Disagree,Always,Disagree,Agree,Always,Agree,Strongly Agree,Often,Agree,Disagree,Often,Neutral,Strongly Disagree
Female,Female,Male,Female,Female,Female,Neutral,Disagree,Sometimes,Often,Disagree,Rarely,Disagree,Disagree,Sometimes,Disagree,Neutral,Sometimes,Agree,Strongly Disagree,Often,Strongly Disagree,Strongly Agree,Rarely,Disagree,Neutral,Rarely,Agree,Strongly Agree,Sometimes,Strongly Agree,Disagree,Always,Agree,Disagree,Rarely,Neutral,Disagree,Never,Strongly Agree,Agree,Rarely,Agree,Neutral,Never,Agree,Neutral,Sometimes,Neutral,Disagree,Always,Agree,Strongly Agree
Female,Male,Male,Female,Female,Female,Strongly Disagree,Neutral,Rarely,Always,Strongly Agree,Sometimes,Strongly Agree,Disagree,Rarely,Strongly Disagree,Agree,Sometimes,Agree,Agree,Always,Strongly Agree,Strongly Disagree,Rarely,Strongly Disagree,Agree,Rarely,Neutral,Agree,Never,Strongly Disagree,Disagree,Sometimes,Neutral,Disagree,Always,Strongly Disagree,Agree,Often,Strongly Agree,Strongly Agree,Never,Strongly Disagree,Neutral,Rarely,Strongly Disagree,Neutral,Sometimes,Disagree,Neutral,Rarely,Strongly Agree,Strongly Disagree
Male,Female,Female,Female,Female,Male,Neutral,Strongly Agree,Sometimes,Rarely,Neutral,Always,Disagree,Agree,Always,Disagree,Neutral,Always,Strongly Agree,Neutral,Rarely,Strongly Agree,Disagree,Often,Strongly Disagree,Strongly Disagree,Often,Disagree,Agree,Always,Strongly Agree,Strongly Disagree,Rarely,Strongly Agree,Strongly Disagree,Often,Strongly Disagree,Neutral,Often,Disagree,Strongly Agree,Rarely,Disagree,Disagree,Often,Disagree,Disagree,Rarely,Neutral,Strongly Agree,Sometimes,Strongly Disagree,Strongly Disagree
Male,Female,Male,Male,Female,Female,Agree,Agree,Rarely,Sometimes,Neutral,Always,Strongly Agree,Strongly Disagree,Often,Agree,Strongly Disagree,Often,Strongly Disagree,Strongly Agree,Never,Neutral,Disagree,Never,Disagree,Strongly Disagree,Always,Strongly Disagree,Disagree,Rarely,Strongly Disagree,Strongly Disagree,Often,Neutral,Strongly Agree,Never,Neutral,Strongly Agree,Sometimes,Disagree,Neutral,Never,Strongly Agree,Strongly Agree,Often,Disagree,Strongly Agree,Never,Strongly Agree,Neutral,Rarely,Agree,Disagree
Male,Male,Male,Male,Female,Male,Strongly Agree,Neutral,Rarely,Rarely,Strongly Disagree,Always,Neutral,Neutral,Sometimes,Strongly Agree,Disagree,Never,Strongly Disagree,Disagree,Never,Disagree,Agree,Sometimes,Strongly Disagree,Strongly Agree,Always,Strongly Disagree,Strongly Agree,Never,Disagree,Neutral,Always,Disagree,Disagree,Sometimes,Strongly Agree,Strongly Agree,Always,Agree,Strongly Disagree,Sometimes,Strongly Disagree,Neutral,Always,Neutral,Strongly Disagree,Always,Neutral,Agree,Always,Strongly Agree,Neutral
Female,Male,Female,Male,Male,Female,Strongly Agree,Neutral,Sometimes,Always,Strongly Agree,Rarely,Neutral,Strongly Agree,Always,Strongly Disagree,Disagree,Rarely,Strongly Disagree,Neutral,Never,Agree,Neutral,Never,Strongly Disagree,Disagree,Often,Agree,Neutral,Rarely,Neutral,Agree,Sometimes,Strongly Disagree,Neutral,Sometimes,Disagree,Disagree,Rarely,Strongly Agree,Neutral,Sometimes,Neutral,Strongly Agree,Never,Strongly Disagree,Disagree,Often,Strongly Disagree,Neutral,Often,Strongly Agree,Agree
Female,Female,Female,Female,Female,Female,Agree,Strongly Disagree,Always,Sometimes,Neutral,Rarely,Strongly Agree,Agree,Often,Disagree,Disagree,Always,Strongly Disagree,Disagree,Rarely,Disagree,Strongly Agree,Rarely,Agree,Agree,Rarely,Strongly Disagree,Strongly Agree,Sometimes,Disagree,Strongly Disagree,Often,Agree,Strongly Agree,Rarely,Strongly Disagree,Strongly Agree,Rarely,Strongly Disagree,Strongly Agree,Often,Strongly Agree,Agree,Never,Agree,Agree,Never,Disagree,Strongly Agree,Often,Agree,Agree
Male,Male,Female,Male,Female,Male,Neutral,Agree,Always,Often,Disagree,Always,Disagree,Strongly Disagree,Often,Disagree,Strongly Agree,Rarely,Strongly Disagree,Agree,Rarely,Neutral,Strongly Disagree,Sometimes,Neutral,Strongly Agree,Often,Strongly Agree,Neutral,Never,Neutral,Disagree,Sometimes,Strongly Disagree,Disagree,Never,Strongly Disagree,Agree,Sometimes,Strongly Agree,Agree,Sometimes,Neutral,Neutral,Rarely,Strongly Disagree,Neutral,Never,Agree,Disagree,Rarely,Neutral,Neutral
Female,Female,Female,Female,Male,Female,Neutral,Neutral,Sometimes,Rarely,Agree,Often,Disagree,Strongly Disagree,Rarely,Disagree,Agree,Often,Strongly Disagree,Agree,Always,Agree,Neutral,Always,Strongly Disagree,Disagree,Often,Strongly Disagree,Agree,Often,Neutral,Strongly Agree,Often,Agree,Disagree,Often,Strongly Disagree,Disagree,Always,Strongly Agree,Neutral,Never,Agree,Disagree,Never,Neutral,Neutral,Never,Neutral,Neutral,Often,Disagree,Disagree
Female,Male,Female,Female,Female,Female,Agree,Strongly Disagree,Rarely,Always,Disagree,Rarely,Strongly Disagree,Disagree,Rarely,Disagree,Disagree,Sometimes,Neutral,Strongly Agree,Never,Neutral,Neutral,Rarely,Strongly Disagree,Agree,Always,Neutral,Disagree,Often,Strongly Agree,Strongly Disagree,Sometimes,Strongly Agree,Strongly Agree,Sometimes,Strongly Disagree,Strongly Agree,Sometimes,Strongly Agree,Agree,Often,Strongly Agree,Strongly Disagree,Sometimes,Agree,Neutral,Rarely,Disagree,Disagree,Always,Strongly Disagree,Strongly Disagree
Male,Male,Female,Female,Male,Male,Strongly Agree,Strongly Disagree,Sometimes,Always,Neutral,Never,Strongly Disagree,Disagree,Always,Agree,Disagree,Often,Disagree,Agree,Sometimes,Strongly Agree,Disagree,Always,Strongly Disagree,Neutral,Always,Neutral,Disagree,Always,Strongly Agree,Agree,Always,Strongly Disagree,Agree,Rarely,Neutral,Strongly Agree,Never,Disagree,Disagree,Sometimes,Strongly Disagree,Strongly Agree,Never,Strongly Agree,Neutral,Never,Strongly Disagree,Strongly Disagree,Sometimes,Neutral,Strongly Agree
Female,Male,Female,Female,Female,Male,Strongly Disagree,Strongly Disagree,Often,Never,Agree,Sometimes,Strongly Disagree,Strongly Agree,Always,Disagree,Strongly Agree,Rarely,Neutral,Strongly Disagree,Never,Strongly Disagree,Strongly Agree,Rarely,Neutral,Strongly Disagree,Never,Disagree,Neutral,Sometimes,Neutral,Strongly Agree,Often,Strongly Disagree,Neutral,Rarely,Strongly Agree,Strongly Agree,Never,Agree,Agree,Never,Strongly Agree,Agree,Never,Neutral,Neutral,Often,Agree,Strongly Disagree,Rarely,Strongly Disagree,Disagree
Female,Male,Male,Female,Female,Male,Strongly Agree,Strongly Agree,Always,Always,Neutral,Never,Agree,Strongly Disagree,Often,Disagree,Neutral,Sometimes,Neutral,Disagree,Rarely,Strongly Agree,Strongly Disagree,Often,Agree,Disagree,Rarely,Neutral,Strongly Agree,Always,Strongly Disagree,Neutral,Rarely,Neutral,Agree,Often,Strongly Agree,Agree,Never,Neutral,Strongly Disagree,Never,Strongly Disagree,Agree,Never,Agree,Agree,Never,Disagree,Neutral,Always,Disagree,Neutral
Female,Female,Male,Male,Male,Female,Strongly Agree,Agree,Never,Always,Disagree,Always,Strongly Agree,Neutral,Never,Neutral,Strongly Disagree,Always,Agree,Disagree,Never,Neutral,Strongly Agree,Never,Agree,Disagree,Sometimes,Disagree,Neutral,Rarely,Strongly Disagree,Strongly Agree,Often,Strongly Agree,Agree,Often,Strongly Agree,Strongly Agree,Never,Neutral,Disagree,Rarely,Neutral,Strongly Disagree,Never,Disagree,Agree,Never,Disagree,Strongly Agree,Rarely,Strongly Agree,Strongly Disagree
Male,Male,Male,Female,Male,Male,Neutral,Neutral,Sometimes,Often,Disagree,Rarely,Strongly Agree,Strongly Disagree,Always,Disagree,Neutral,Rarely,Agree,Agree,Never,Strongly Disagree,Strongly Agree,Rarely,Neutral,Disagree,Often,Neutral,Strongly Disagree,Always,Neutral,Agree,Always,Strongly Agree,Strongly Agree,Sometimes,Strongly Agree,Disagree,Rarely,Strongly Disagree,Agree,Never,Agree,Neutral,Sometimes,Neutral,Strongly Agree,Rarely,Agree,Strongly Agree,Never,Neutral,Neutral
Female,Male,Male,Female,Female,Female,Neutral,Strongly Agree,Always,Often,Strongly Disagree,Never,Strongly Agree,Strongly Disagree,Often,Strongly Disagree,Disagree,Never,Strongly Disagree,Neutral,Sometimes,Disagree,Agree,Always,Neutral,Agree,Often,Agree,Agree,Never,Strongly Agree,Strongly Agree,Always,Neutral,Strongly Disagree,Often,Strongly Agree,Neutral,Often,Strongly Disagree,Agree,Sometimes,Agree,Neutral,Never,Strongly Disagree,Strongly Disagree,Sometimes,Disagree,Strongly Agree,Always,Agree,Strongly Disagree
Male,Female,Female,Female,Female,Female,Strongly Agree,Strongly Agree,Often,Sometimes,Strongly Disagree,Sometimes,Agree,Disagree,Rarely,Neutral,Strongly Agree,Often,Strongly Disagree,Agree,Often,Strongly Disagree,Disagree,Always,Neutral,Neutral,Sometimes,Agree,Neutral,Always,Strongly Agree,Strongly Agree,Never,Neutral,Strongly Agree,Sometimes,Neutral,Neutral,Rarely,Neutral,Agree,Rarely,Strongly Agree,Strongly Disagree,Sometimes,Disagree,Neutral,Always,Neutral,Strongly Agree,Rarely,Strongly Agree,Strongly Disagree
Male,Male,Male,Male,Female,Female,Disagree,Strongly Agree,Always,Never,Strongly Disagree,Rarely,Strongly Agree,Strongly Agree,Rarely,Strongly Disagree,Neutral,Often,Strongly Agree,Strongly Agree,Never,Disagree,Disagree,Sometimes,Strongly Disagree,Neutral,Never,Neutral,Strongly Disagree,Often,Neutral,Strongly Disagree,Always,Disagree,Agree,Rarely,Agree,Strongly Disagree,Sometimes,Agree,Agree,Sometimes,Neutral,Strongly Disagree,Never,Agree,Neutral,Never,Neutral,Neutral,Often,Neutral,Disagree
Male,Female,Female,Male,Female,Female,Disagree,Disagree,Always,Never,Disagree,Never,Disagree,Strongly Disagree,Never,Strongly Agree,Agree,Always,Agree,Strongly Agree,Never,Agree,Strongly Agree,Never,Strongly Agree,Neutral,Sometimes,Strongly Disagree,Strongly Agree,Always,Disagree,Agree,Sometimes,Disagree,Strongly Disagree,Always,Strongly Agree,Strongly Agree,Sometimes,Neutral,Strongly Disagree,Rarely,Strongly Disagree,Disagree,Sometimes,Strongly Agree,Strongly Disagree,Rarely,Agree,Neutral,Often,Agree,Agree
Male,Male,Female,Male,Female,Female,Strongly Agree,Strongly Agree,Rarely,Never,Disagree,Always,Neutral,Agree,Often,Strongly Agree,Strongly Agree,Rarely,Neutral,Agree,Rarely,Neutral,Neutral,Often,Strongly Disagree,Agree,Sometimes,Strongly Disagree,Disagree,Often,Strongly Disagree,Disagree,Always,Strongly Agree,Neutral,Always,Neutral,Agree,Always,Neutral,Strongly Agree,Always,Strongly Agree,Neutral,Often,Strongly Disagree,Agree,Never,Strongly Agree,Agree,Always,Agree,Neutral
Female,Male,Male,Male,Female,Male,Strongly Disagree,Agree,Often,Sometimes,Agree,Never,Strongly Agree,Agree,Rarely,Strongly Disagree,Strongly Disagree,Never,Neutral,Agree,Always,Agree,Disagree,Rarely,Strongly Agree,Strongly Disagree,Rarely,Strongly Agree,Agree,Rarely,Disagree,Strongly Agree,Never,Neutral,Agree,Always,Disagree,Strongly Disagree,Never,Strongly Agree,Strongly Disagree,Always,Strongly Disagree,Neutral,Sometimes,Strongly Disagree,Disagree,Sometimes,Neutral,Disagree,Never,Strongly Disagree,Agree
Male,Male,Female,Male,Female,Male,Strongly Disagree,Disagree,Always,Sometimes,Strongly Disagree,Often,Strongly Agree,Strongly Agree,Often,Disagree,Neutral,Rarely,Strongly Disagree,Neutral,Often,Agree,Agree,Always,Strongly Agree,Strongly Agree,Often,Neutral,Neutral,Never,Strongly Agree,Disagree,Always,Strongly Disagree,Neutral,Sometimes,Disagree,Neutral,Often,Disagree,Strongly Agree,Always,Disagree,Strongly Disagree,Always,Agree,Agree,Never,Strongly Agree,Agree,Sometimes,Strongly Agree,Agree
Male,Female,Female,Female,Female,Female,Strongly Agree,Agree,Always,Rarely,Neutral,Often,Neutral,Disagree,Rarely,Agree,Strongly Agree,Always,Neutral,Agree,Always,Disagree,Agree,Never,Neutral,Disagree,Always,Disagree,Strongly Agree,Sometimes,Agree,Agree,Often,Strongly Agree,Neutral,Always,Strongly Disagree,Neutral,Often,Neutral,Disagree,Rarely,Disagree,Agree,Often,Strongly Disagree,Strongly Disagree,Sometimes,Disagree,Strongly Disagree,Always,Neutral,Strongly Disagree
Male,Male,Male,Female,Female,Female,Agree,Agree,Rarely,Never,Disagree,Sometimes,Agree,Agree,Never,Agree,Disagree,Never,Strongly Disagree,Strongly Agree,Always,Disagree,Agree,Rarely,Strongly Agree,Agree,Always,Agree,Neutral,Rarely,Neutral,Disagree,Often,Strongly Disagree,Neutral,Sometimes,Neutral,Strongly Agree,Sometimes,Disagree,Disagree,Always,Agree,Disagree,Always,Agree,Neutral,Rarely,Strongly Agree,Strongly Agree,Rarely,Strongly Disagree,Strongly Agree
Female,Male,Female,Female,Male,Male,Agree,Agree,Rarely,Rarely,Strongly Disagree,Often,Strongly Disagree,Agree,Often,Neutral,Agree,Always,Agree,Agree,Always,Neutral,Agree,Sometimes,Neutral,Strongly Disagree,Often,Neutral,Strongly Disagree,Sometimes,Strongly Disagree,Neutral,Never,Disagree,Strongly Disagree,Sometimes,Strongly Disagree,Neutral,Always,Agree,Strongly Disagree,Rarely,Agree,Strongly Disagree,Sometimes,Agree,Strongly Agree,Often,Strongly Agree,Strongly Agree,Rarely,Neutral,Disagree
Female,Male,Female,Male,Female,Female,Disagree,Neutral,Rarely,Sometimes,Strongly Disagree,Always,Strongly Agree,Strongly Disagree,Rarely,Strongly Disagree,Strongly Agree,Rarely,Strongly Agree,Agree,Often,Disagree,Neutral,Sometimes,Neutral,Disagree,Never,Strongly Agree,Strongly Agree,Often,Agree,Strongly Disagree,Sometimes,Strongly Disagree,Disagree,Always,Strongly Agree,Agree,Sometimes,Strongly Agree,Disagree,Sometimes,Strongly Agree,Strongly Agree,Always,Strongly Agree,Strongly Disagree,Sometimes,Neutral,Strongly Disagree,Always,Neutral,Strongly Agree
Female,Female,Female,Male,Male,Female,Strongly Agree,Agree,Always,Often,Agree,Always,Strongly Agree,Strongly Disagree,Never,Neutral,Agree,Sometimes,Disagree,Disagree,Always,Disagree,Agree,Never,Strongly Disagree,Strongly Disagree,Sometimes,Disagree,Strongly Agree,Often,Strongly Disagree,Agree,Always,Neutral,Disagree,Never,Neutral,Strongly Agree,Sometimes,Disagree,Strongly Agree,Never,Strongly Agree,Neutral,Never,Neutral,Agree,Always,Strongly Disagree,Neutral,Sometimes,Agree,Agree
Female,Male,Female,Female,Male,Male,Disagree,Disagree,Sometimes,Never,Strongly Agree,Rarely,Strongly Agree,Disagree,Sometimes,Agree,Neutral,Never,Strongly Disagree,Strongly Agree,Rarely,Strongly Agree,Agree,Often,Strongly Disagree,Agree,Rarely,Strongly Agree,Agree,Often,Agree,Strongly Disagree,Rarely,Neutral,Disagree,Rarely,Disagree,Neutral,Never,Neutral,Agree,Always,Agree,Disagree,Sometimes,Strongly Agree,Strongly Agree,Never,Agree,Agree,Always,Disagree,Strongly Disagree
Male,Male,Male,Female,Female,Male,Neutral,Neutral,Sometimes,Sometimes,Strongly Agree,Always,Agree,Strongly Disagree,Always,Strongly Agree,Disagree,Often,Strongly Agree,Strongly Disagree,Always,Strongly Disagree,Strongly Disagree,Rarely,Neutral,Strongly Agree,Always,Disagree,Disagree,Never,Agree,Agree,Always,Disagree,Disagree,Always,Neutral,Strongly Agree,Rarely,Strongly Disagree,Agree,Sometimes,Neutral,Strongly Agree,Never,Strongly Disagree,Strongly Agree,Never,Agree,Disagree,Rarely,Neutral,Disagree
Male,Female,Female,Male,Female,Female,Agree,Strongly Disagree,Rarely,Always,Strongly Agree,Rarely,Strongly Agree,Neutral,Rarely,Strongly Agree,Strongly Agree,Always,Strongly Agree,Neutral,Often,Disagree,Strongly Agree,Never,Agree,Strongly Agree,Always,Strongly Agree,Disagree,Never,Strongly Disagree,Neutral,Sometimes,Strongly Agree,Strongly Disagree,Rarely,Agree,Agree,Rarely,Agree,Disagree,Never,Disagree,Strongly Agree,Sometimes,Strongly Agree,Agree,Always,Neutral,Neutral,Rarely,Neutral,Strongly Disagree
Male,Female,Female,Female,Female,Female,Strongly Agree,Agree,Never,Never,Agree,Often,Neutral,Strongly Agree,Never,Strongly Disagree,Disagree,Often,Strongly Agree,Agree,Always,Strongly Agree,Neutral,Often,Disagree,Strongly Agree,Often,Disagree,Agree,Rarely,Disagree,Strongly Agree,Rarely,Strongly Agree,Agree,Rarely,Disagree,Neutral,Never,Disagree,Strongly Disagree,Rarely,Agree,Strongly Agree,Often,Strongly Agree,Strongly Agree,Rarely,Disagree,Strongly Agree,Sometimes,Disagree,Strongly Agree
Female,Male,Female,Female,Female,Female,Disagree,Strongly Disagree,Often,Sometimes,Strongly Disagree,Never,Agree,Disagree,Always,Strongly Disagree,Neutral,Sometimes,Disagree,Agree,Never,Strongly Disagree,Agree,Sometimes,Strongly Agree,Strongly Disagree,Rarely,Disagree,Disagree,Always,Disagree,Agree,Sometimes,Disagree,Neutral,Rarely,Strongly Agree,Strongly Disagree,Sometimes,Disagree,Disagree,Often,Strongly Agree,Strongly Agree,Rarely,Neutral,Neutral,Never,Disagree,Disagree,Always,Neutral,Disagree
Male,Female,Male,Male,Female,Male,Disagree,Disagree,Never,Sometimes,Agree,Often,Neutral,Strongly Agree,Always,Neutral,Agree,Sometimes,Disagree,Strongly Agree,Often,Disagree,Disagree,Often,Strongly Agree,Agree,Often,Strongly Disagree,Agree,Sometimes,Strongly Agree,Neutral,Often,Agree,Disagree,Never,Strongly Disagree,Strongly Disagree,Always,Strongly Disagree,Neutral,Sometimes,Disagree,Agree,Sometimes,Agree,Neutral,Often,Agree,Strongly Agree,Always,Neutral,Agree
Male,Female,Female,Male,Female,Female,Agree,Neutral,Rarely,Always,Strongly Agree,Always,Agree,Neutral,Sometimes,Strongly Disagree,Strongly Agree,Rarely,Strongly Agree,Neutral,Sometimes,Agree,Agree,Never,Disagree,Disagree,Rarely,Strongly Disagree,Strongly Agree,Never,Strongly Agree,Disagree,Always,Strongly Agree,Neutral,Sometimes,Neutral,Strongly Agree,Sometimes,Disagree,Strongly Agree,Never,Strongly Agree,Agree,Never,Disagree,Strongly Disagree,Rarely,Strongly Agree,Strongly Disagree,Never,Neutral,Agree
Male,Male,Female,Male,Female,Male,Agree,Disagree,Always,Sometimes,Strongly Disagree,Rarely,Neutral,Disagree,Sometimes,Strongly Disagree,Disagree,Often,Neutral,Strongly Agree,Always,Strongly Disagree,Strongly Agree,Sometimes,Strongly Agree,Neutral,Never,Strongly Agree,Neutral,Often,Agree,Agree,Sometimes,Neutral,Neutral,Always,Strongly Agree,Agree,Never,Neutral,Strongly Agree,Sometimes,Agree,Strongly Disagree,Rarely,Strongly Disagree,Strongly Disagree,Never,Strongly Disagree,Neutral,Rarely,Strongly Disagree,Agree
Male,Male,Female,Female,Female,Male,Neutral,Disagree,Never,Sometimes,Neutral,Always,Agree,Strongly Disagree,Often,Strongly Agree,Strongly Agree,Rarely,Disagree,Disagree,Rarely,Strongly Agree,Agree,Always,Strongly Agree,Strongly Disagree,Never,Strongly Agree,Neutral,Often,Disagree,Neutral,Never,Strongly Disagree,Agree,Rarely,Disagree,Disagree,Always,Strongly Disagree,Strongly Disagree,Rarely,Neutral,Disagree,Sometimes,Strongly Agree,Disagree,Never,Agree,Disagree,Sometimes,Neutral,Strongly Agree
